,time,AHU: Static Pressure Reset Trim And Respond Signal,AHU: Mixed Air Temperature,Outdoor Air Temperature,AHU: Return Air Temperature,VAV: South Zone Room Air Temperature,VAV: Core Zone Room Air Temperature,VAV: North Zone Room Air Temperature,AHU: Supply Air Temperature,VAV: Core Zone Discharge Air Temperature,VAV: North Zone Discharge Air Temperature,VAV: South Zone Discharge Air Temperature,AHU: Supply Air Temperature Reset Trim And Respond Signal,VAV: Core Zone Airflow Rate,VAV: North Zone Airflow Rate,VAV: South Zone Airflow Rate,AHU: Supply Duct Static Pressure Setpoint,AHU: Supply Air Temperature Setpoint,VAV: Core Zone Cooling Loop Signal,VAV: North Zone Cooling Loop Signal,VAV: South Zone Cooling Loop Signal,AHU: Cooling Coil Load,AHU: Cooling Coil Supply Water Flow Rate,VAV: Core Zone Reheat Valve Signal,VAV: Core Zone Discharge Air Damper Position,AHU: Supply Duct Static Pressure,AHU: Exhaust Air Damper Position,AHU: Outdoor Air Damper Position,AHU: Return Airflow Rate,AHU: Return Air Damper Position,AHU: Supply Fan Power Modelica Inaccurate,AHU: Supply Fan Power,VAV: North Zone Reheat Valve Signal,VAV: North Zone Discharge Air Damper Position,AHU: Supply Fan Airflow Rate,VAV: South Zone Reheat Valve Signal,VAV: South Zone Discharge Air Damper Position,AHU: Cooling Coil Supply Water Temperature
25,19441500.0,0.0,18.295227,16.11435,21.72055,21.593353,21.847778,21.78888,18.296722,18.296417,18.296417,18.296417,0.0,0.03209149,0.03209149,0.049596477,250.0,18.300018,0.0,0.0,0.0,-0.08264981,9.54197e-21,0.0,52.29573,250.09944,33.113228,96.0,0.044267714,23.641483,252.83406,210.96696,0.0,52.29573,0.113779426,0.0,49.523373,8.330017
26,19441560.0,0.0,18.295807,16.10733,21.715424,21.583344,21.847412,21.786469,18.296234,18.296417,18.296417,18.296417,0.0,0.032088432,0.032088432,0.04959131,250.0,18.300018,0.0,0.0,0.0,-0.032290578,9.54197e-21,0.0,52.29448,250.08011,33.073193,96.0,0.04440364,23.697529,252.82634,210.95071,0.0,52.29448,0.11376814,0.0,49.522293,8.330017
27,19441620.0,0.0,18.29663,16.100372,21.710297,21.573395,21.847046,21.784088,18.29602,18.296295,18.296295,18.296326,0.0,0.032086533,0.032086533,0.049588144,250.0,18.300018,0.0,0.0,0.0,0.026135663,9.54197e-21,0.0,52.293945,250.0625,33.032475,96.0,0.044543955,23.754538,252.82037,210.9378,0.0,52.293945,0.11376119,0.0,49.521873,8.330017
28,19441680.0,0.0,18.297089,16.093414,21.7052,21.563477,21.84665,21.781708,18.296173,18.296204,18.296204,18.296204,0.0,0.032085523,0.032085523,0.04958649,250.0,18.300018,0.0,0.0,0.0,0.051232286,9.54197e-21,0.0,52.293903,250.04724,32.994305,96.0,0.04467681,23.807972,252.81595,210.92796,0.0,52.293903,0.113757506,0.0,49.521904,8.330017
29,19441740.0,0.0,18.296906,16.086548,21.700134,21.55365,21.846283,21.779327,18.296448,18.296234,18.296234,18.296234,0.0,0.03208496,0.03208496,0.049585603,250.0,18.300018,0.0,0.0,0.0,0.030935662,9.54197e-21,0.0,52.294044,250.03488,32.959972,96.0,0.04479695,23.856037,252.81265,210.92055,0.0,52.294044,0.11375551,0.0,49.5221,8.330017
30,19441800.0,0.0,18.296509,16.079681,21.695099,21.543854,21.845917,21.776978,18.29663,18.296356,18.296356,18.296356,0.0,0.03208471,0.03208471,0.04958523,250.0,18.300018,0.0,0.0,0.0,-0.0017868109,9.54197e-21,0.0,52.294277,250.0252,32.927055,96.0,0.04491267,23.902126,252.81027,210.91516,0.0,52.294277,0.11375464,0.0,49.52236,8.330017
31,19441860.0,0.0,18.296234,16.072906,21.690125,21.534393,21.845367,21.774567,18.29663,18.296478,18.296478,18.296478,0.0,0.03208467,0.03208467,0.049585205,250.0,18.300018,0.0,0.0,0.0,-0.021255169,9.54197e-21,0.0,52.294548,250.018,32.893642,96.0,0.045030523,23.948902,252.80864,210.91145,0.0,52.294548,0.113754526,0.0,49.522644,8.330017
32,19441920.0,0.0,18.296326,16.066132,21.685211,21.525024,21.844788,21.772186,18.29654,18.29654,18.29654,18.296509,0.0,0.032084703,0.032084703,0.049585298,250.0,18.300018,0.0,0.0,0.0,-0.014460339,9.54197e-21,0.0,52.294777,250.01271,32.858513,96.0,0.045154605,23.99808,252.80743,210.90886,0.0,52.294777,0.11375469,0.0,49.52289,8.330017
33,19441980.0,0.0,18.29657,16.059418,21.680298,21.515656,21.844208,21.769806,18.296478,18.296509,18.296509,18.296509,0.0,0.032084778,0.032084778,0.049585447,250.0,18.300018,0.0,0.0,0.0,0.002360369,9.54197e-21,0.0,52.294968,250.00893,32.822807,96.0,0.04528086,24.048069,252.8066,210.9071,0.0,52.294968,0.11375499,0.0,49.523087,8.330017
34,19442040.0,0.0,18.296783,16.052765,21.675415,21.506378,21.843658,21.767426,18.296478,18.296509,18.296509,18.296509,0.0,0.032084864,0.032084864,0.049585614,250.0,18.300018,0.0,0.0,0.0,0.015539294,9.54197e-21,0.0,52.29512,250.00638,32.787548,96.0,0.04540562,24.097431,252.806,210.90602,0.0,52.29512,0.113755345,0.0,49.52324,8.330017
